id,smiles,inchikey,mwt,clogp,pubchem_name,pubchem_id,scaffold,tpsa,normalized_inhibition,SMILES,mic_method,full_strain_name,pmic
10300503,COc1ccc(N(C(=O)CCl)[C@@H](C(=O)NCCc2ccccc2)c2ccc(Cl)s2)cc1Cl,CURVSIRRHYEYDT-JOCHJYFZSA-N,510.03384657199996,5.7355000000000045,,,O=C(NCCc1ccccc1)[C@H](Nc1ccccc1)c1cccs1,58.64,0.626485951,COc1ccc(N(C(=O)CCl)[C@@H](C(=O)NCCc2ccccc2)c2ccc(Cl)s2)cc1Cl,Broth microdilution,Staphylococcus aureus,
10311401,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc(C(F)(F)F)cc2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,DKIVYPZVYUOSIP-KJMNMTOCSA-N,738.3022534400001,5.199100000000005,"1-[[(3r,9r,10r)-12-[(2r)-1-hydroxypropan-2-yl]-3,10-dimethyl-16-[(1-methylimidazol-4-yl)sulfonylamino]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-1-methyl-3-[4-(trifluoromethyl)phenyl]urea",54615457.0,O=C(NC[C@H]1CCNC(=O)c2cc(NS(=O)(=O)c3c[nH]cn3)ccc2OCCCCCO1)Nc1ccccc1,155.33000000000004,-0.0888659769999999,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc(C(F)(F)F)cc2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,Broth microdilution,Staphylococcus aureus,
10402248,C[C@@H]1CCCCO[C@H](CN(C)S(=O)(=O)c2cccs2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,VLRBDDYJQHBRCQ-QXFFIUSXSA-N,690.255719936,5.647400000000006,"1-(4-fluorophenyl)-3-[(3r,9s,10s)-12-[(2r)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(thiophen-2-ylsulfonyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]urea",44504276.0,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCC[C@@H](CNS(=O)(=O)c1cccs1)OCCCCCO2,137.51000000000002,0.0977220909999999,C[C@@H]1CCCCO[C@H](CN(C)S(=O)(=O)c2cccs2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,Broth microdilution,Staphylococcus aureus,
10445580,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,UHYLZCFMZDIRGN-URCRQUEMSA-N,652.248424888,6.720300000000006,"1-[(2s,3s)-5-[(2s)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[[4-(trifluoromethyl)phenyl]methyl]amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-8-yl]-3-[4-(trifluoromethyl)phenyl]urea",44486528.0,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCC[C@@H](CNCc1ccccc1)O2,94.14,0.0915484079999999,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,Broth microdilution,Staphylococcus aureus,
10488939,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C#N)cc2)Oc2ncc(C#CCN(C)C)cc2C1=O,HLZYJMHMFAQKCT-DFIYOIEZSA-N,539.220240156,1.4071800000000003,"4-cyano-n-[[(2r,3s)-8-[3-(dimethylamino)prop-1-ynyl]-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2h-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-n-methylbenzenesulfonamide",44506133.0,O=C1NCC[C@H](CNS(=O)(=O)c2ccccc2)Oc2ncccc21,127.06999999999998,0.073649798,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C#N)cc2)Oc2ncc(C#CCN(C)C)cc2C1=O,Broth microdilution,Staphylococcus aureus,
10535793,COc1ccc([C@@H]([C@H](Cc2ccccc2)OC(C)=O)N2C[C@@H](NC(=O)C(Cl)(Cl)Cl)[C@@H]3[C@H]([C@@H]2Cc2ccccc2)N(C)O[C@H]3c2ccccc2)cc1,KTUXVKZBKBWGLR-QZRIQWDPSA-N,749.219004484,7.295700000000008,,,c1ccc(CC[C@H](c2ccccc2)N2CC[C@@H]3[C@@H](NO[C@H]3c3ccccc3)[C@@H]2Cc2ccccc2)cc1,80.34,-0.0343092819999999,COc1ccc([C@@H]([C@H](Cc2ccccc2)OC(C)=O)N2C[C@@H](NC(=O)C(Cl)(Cl)Cl)[C@@H]3[C@H]([C@@H]2Cc2ccccc2)N(C)O[C@H]3c2ccccc2)cc1,Broth microdilution,Staphylococcus aureus,
10759739,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(Br)cnc2O[C@H]1CN(C)C(=O)CN1CCOCC1,SNAMBJYBGFVODZ-VKJFTORMSA-N,498.147782192,0.8548000000000009,"n-[[(2r,3r)-8-bromo-5-[(2s)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2h-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-n-methyl-2-morpholin-4-ylacetamide",46903896.0,O=C(CN1CCOCC1)NC[C@H]1CCNC(=O)c2cccnc2O1,95.44,0.061673708,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(Br)cnc2O[C@H]1CN(C)C(=O)CN1CCOCC1,Broth microdilution,Staphylococcus aureus,
10793175,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)OCCCC[C@H](C)O3)cc1,OUJBPOBLHVPJKV-OWNVZFKLSA-N,699.330184528,5.360060000000005,"3-(3,5-dimethyl-1,2-oxazol-4-yl)-1-[[(3s,9r,10r)-12-[(2s)-1-hydroxypropan-2-yl]-3,10-dimethyl-16-[(4-methylphenyl)sulfonylamino]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-1-methylurea",49843229.0,O=C(NC[C@H]1CCNC(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2OCCCCCO1)Nc1cnoc1,163.53999999999996,0.0800576929999999,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)OCCCC[C@H](C)O3)cc1,Broth microdilution,Staphylococcus aureus,
10894018,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N([C@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)O3)cc1,MGXDQALVEHELJP-GVNDJSPXSA-N,619.16744758,5.454720000000005,"n-[(2s,3r)-2-[[(3,4-dichlorophenyl)methyl-methylamino]methyl]-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-8-yl]-4-methylbenzenesulfonamide",44493335.0,O=C1NCC[C@@H](CNCc2ccccc2)Oc2ccc(NS(=O)(=O)c3ccccc3)cc21,99.17999999999998,-0.275643544,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N([C@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)O3)cc1,Broth microdilution,Staphylococcus aureus,
10962854,C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,QFRUZVNPYYYLAN-UHFFFAOYSA-N,472.2461034919999,4.354100000000003,"methyl 2-[13-(furan-3-yl)-5-hydroxy-6,6,8,12-tetramethyl-17-methylidene-15-oxo-2,14-dioxatetracyclo[7.7.1.01,12.03,8]heptadecan-7-yl]acetate",3685255.0,C=C1C2CCC3C(c4ccoc4)OC(=O)CC13OC1CCCCC12,95.2,-0.07485,C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,Broth microdilution,Staphylococcus aureus,
