Name,SMILES,Mean,id
BRD-K53797291,CC(C)NC(=O)N(C)C[C@@H]1Oc2cc(-c3ccccc3F)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@H]1C,0.908936353,10022636
BRD-A28152839,NC[C@H](c1ccco1)N1CCCCCC1,0.882449073,10030376
RETINYL ACETATE,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,0.96525,10034901
BRD-K08390999,CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Cc1cccnc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0.91741534,10054992
BRD-K35260788,CCNC(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2C(=O)Nc2c(C)noc2C)O1,0.918583145,10073997
BRD-K10532574,COCC(=O)Nc1ccc2c(c1)OC[C@H](C)N(Cc1ccccc1OC)C[C@@H](C)[C@H](OC)CN(C)C2=O,0.843304982,10077320
BRD-K25541557,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(C#Cc3ccccc3)cc2O[C@H]1CN(C)S(=O)(=O)c1ccccc1F,1.029785472,10096154
FASUDIL HYDROCHLORIDE,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.10255,10118816
BRD-K93812437,CC(C)CSc1ncnc2scc(-c3ccccc3)c12,0.920372946,10123403
FLUNARIZINE HYDROCHLORIDE,Cl.Cl.Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,1.1277,10128636
BRD-K98120803,O=c1[nH][nH]c(=S)n1C1CC1,0.821173326,10128916
BRD-K14444135,CCc1c(C)[nH]c(=S)c(C#N)c1C,1.101745346,10135214
TROCLOSENE SODIUM,O=c1[n-]c(=O)n(Cl)c(=O)n1Cl.[Na+],1.06905,10139174
FLUNISOLIDE,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)[C@]2(C(=O)CO)O1,0.988545,10152717
BRD-K27341164,CN1C(=O)c2cc(NC(=O)C3CCCC3)ccc2OC[C@@H]2O[C@@H](CC(=O)NCCc3ccncc3)CC[C@H]21,1.053935365,10156337
BRD-K81861378,CC(=O)NCCCC[C@@H]1NC(=O)[C@H]2C[C@@H](C(=O)NCCCC[N+](C)(C)C)[C@@H](c3cccc(OCCO)c3)N2C1=O,0.937804008,10166109
BRD-A44050796,CCCC12CN3CC(CCC)(CN(C1)C3[C@@H](O)[C@@H](O)[C@@H](O)CO)C2=O,1.004943319,10177668
BRD-K32182886,CCOC(=O)C(=O)N(C)CC(OC)OC,0.924836658,10188371
BRD-K12661689,NNC(=O)CCCCC(=O)NO,1.00265807,10189283
BRD-A97233004,O=C(Nc1ccc(-c2ccccc2)cc1)[C@H]1C[C@@H]1c1ccccc1,0.867131086,10201613
AMIKACIN HYDRATE,NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O.O,0.160165,10243326
BRD-K65706024,CCCc1cc(=O)oc2cc3occ(-c4ccccc4)c3cc12,1.06730056,10251454
ACETYLSALICYLANILIDE,CC(=O)Oc1ccccc1C(=O)Nc1ccccc1,0.978645,10256550
BRD-K86038427,NC(=O)c1c(Cl)ncc2c1NCC2,0.94954286,10271858
CHOLESTEROL,CC(C)CCCC(C)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,0.988825,10286173
BRD-A29676772,CS(=O)(=O)N[C@@H](C(=O)O)c1ccccc1,1.122081578,10286699
BRD-K11992628,C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2nncc2CO[C@@H]1CN(C)C(=O)Oc1cccc2ccccc12,0.987607716,10290044
BRD-K86127590,Cc1csc2sc(/C=N/Cc3cccs3)c(C)c12,0.990104445,10293250
BRD-K84586608,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)c3ccccc3)ccc2OC[C@@H](C)N(C(=O)CN(C)C)C[C@@H]1C,1.145081588,10294981
BRD-A22796662,CCOC(=O)[C@H]1CNC(=S)N[C@@]1(C)O,1.08941645,10305156
MELPHALAN,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.98191,10313878
NITARSONE,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,0.711655,10327055
CHLORMIDAZOLE,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,0.144655,10365440
BRD-K34924042,O=C(COc1ccc(Cl)cc1Cl)NCCn1ncc2c(=O)n(Cc3cccc([N+](=O)[O-])c3)cnc21,0.884292285,10365517
BRD-K37708444,O=C(C[C@@H]1C=C[C@@H](NC(=O)c2cccnc2)[C@@H](CO)O1)NCc1ccncn1,0.892501107,10371711
BRD-K90895072,COc1ncnc(OC)c1C,1.155229805,10372696
BRD-K58837353,CC(C)NC(=O)N(C)C[C@H]1Oc2cc(-c3ccccc3F)ccc2S(=O)(=O)N([C@H](C)CO)C[C@H]1C,0.960375353,10387536
SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.9654,10392769
BRD-K83378153,CCc1nn(C)c2c(=O)c(=O)c2n(C)[nH]1,1.149910071,10396440
BRD-K07968538,COc1cccc(S(=O)(=O)N2C[C@H](O)COC[C@@H]3O[C@@H](CC(=O)N4CCN(C)CC4)CC[C@H]32)c1,0.856061319,10396502
BRD-K92700781,O=C(CN1CCOCC1)NCC[C@@H]1CC[C@@H](NC(=O)c2ccccc2F)[C@@H](CO)O1,1.011328706,10413505
BRD-K18365442,O=C(NCC(F)(F)F)[C@@H]1c2ccccc2C(=O)N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H]1c1ccc(CO)cc1,0.985158817,10432421
PIRACETAM,NC(=O)CN1CCCC1=O,1.30045,10435699
BRD-A66476287,NCC[C@H]1COc2ccccc2O1,0.956857459,10464192
BRD-K04695623,COc1ccc(S(=O)(=O)N(C)C[C@@H]2Oc3c(NC(=O)Nc4cccc5ccccc45)cccc3C(=O)N([C@H](C)CO)C[C@@H]2C)cc1,1.024197361,10476529
BRD-K47234214,COc1cc(N)ccc1N1CCCS1(=O)=O,0.961889359,10502874
BRD-K17075055,COc1cccc(S(=O)(=O)N(C)C[C@@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N([C@H](C)CO)C[C@@H]2C)c1,1.325727125,10510048
BRD-K27654333,Cc1ccc2nc(-c3ccco3)[nH]c2c1,0.925806932,10514654
BRD-K13226714,CC(C)[Si](C#C[Si](C(C)C)(C(C)C)C(C)C)(O[C@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1)C(C)C,0.894477285,10515430
BRD-K81736443,COc1ccccc1CNC(=O)C[C@@H]1C[C@H]2c3cc(NC(=O)Nc4ccc(C(F)(F)F)cc4)ccc3O[C@H]2[C@H](CO)O1,0.974594232,10526081
BRD-K28036193,C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(-c3ccncc3)cc2O[C@H]1CN(C)Cc1ccc(Oc2ccccc2)cc1,1.336167451,10529722
BRD-A35329938,COc1ccc([C@@H]([C@H](Cc2ccccc2)OC(C)=O)N2C[C@@H](NC(=O)C(Cl)(Cl)Cl)[C@H]3[C@H](c4ccccc4)ON(C)[C@H]3[C@@H]2Cc2ccccc2)cc1,0.965660352,10535793
BRD-A29465447,CC(C)(C)N1C[C@H](C(=O)O)CC1=O,1.071280491,10538813
BRD-K22986903,O=C(C[C@H]1C=C[C@H](NC(=O)c2cccc(F)c2)[C@H](CO)O1)NCCN1CCCC1,1.101173136,10541847
BRD-A27389140,O=c1cccc2n1C[C@@H]1C[C@H]2CN(CCO)C1,1.026373945,10554865
BRD-K23622991,CCNC(=O)C[C@@H]1C=C[C@H](NC(=O)C2CC2)[C@H](CO)O1,0.89461199,10556309
ETHYL PARABEN,CCOC(=O)c1ccc(O)cc1,1.1304,10568621
BRD-K06469010,COC(=O)[C@@H](N)Cc1ccc(-n2cc(CCC(=O)NO)nn2)cc1,0.522953374,10571857
PRIMIDONE,CCC1(c2ccccc2)C(=O)NCNC1=O,1.2337,10587219
BRD-K75399175,Cn1c(=O)c2c(ncn2CCCN)n(C)c1=O,0.927962706,10598047
BRD-K54107224,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(-c3ccccc3F)cc2O[C@H]1CN(C)S(C)(=O)=O,0.837588407,10600684
BRD-A67761862,NNC(=O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21,0.978114953,10607267
BRD-A93446780,NCCN1C(=O)c2[nH]nc(-c3ccccc3)c2[C@H]1c1ccccc1,0.96608357,10625536
BRD-A34274278,CC(=O)N(O)CCC[C@H]1NC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H](CCCN(O)C(C)=O)NC(=O)[C@@H](CCCN(O)C(C)=O)NC1=O,1.119013035,10636988
BRD-K29973433,O=C(O)CCSc1n[nH]c(=O)[nH]c1=O,1.095604742,10640273
BRD-A54472601,Cc1nccn1C[C@H](C)C(=O)O,1.014001163,10656316
BRD-K48590501,COCCOC(=O)N1C(=O)[C@@]2(c3cc(C#Cc4ccc(OC)cc4)ccc31)[C@H](c1ccccc1OCCO)N1[C@H](c3ccccc3)[C@H](c3ccccc3)OC(=O)[C@H]1[C@@H]2C(=O)NC[C@H](O)c1ccccc1,1.165804349,10657441
BRD-K63272995,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2cc(F)ccc2F)O1)N[C@@H]1CCN(Cc2ccccc2)C1,1.112592963,10670091
BRD-K80038406,CNC(=O)C(=O)NCCc1c[nH]c2ccccc12,1.057168845,10674530
BRD-K17113070,Cn1cnc(S(=O)(=O)N2C[C@H](O)COC[C@H]3O[C@@H](CC(=O)NC4CCCC4)CC[C@@H]32)c1,1.004216792,10713215
MECYSTEINE HYDROCHLORIDE,COC(=O)C(N)CS.Cl,0.984215,10723316
BRD-K12568021,O=C(N/N=C/[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO)c1ccccn1,1.008794703,10726263
BRD-K79132604,CC(C)NC(=O)NCC[C@H]1CC[C@H](NC(=O)CN(C)C)[C@H](CO)O1,1.037722736,10730710
BRD-K09688062,CN(C)CC(=O)N[C@H]1CC[C@@H](CCNC(=O)C2CCC2)O[C@H]1CO,0.965024497,10731833
BRD-K92267229,COc1ccccc1C#Cc1ccc2c(c1)O[C@@H](CN(C)C(C)=O)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0.795595188,10751530
BRD-K82004476,CC(C)(C)C(=O)Nc1ccccc1F,0.939840595,10756467
BRD-A75771022,C[C@H]1C[C@H]2N[C@@H]3C(=O)NC(=O)N[C@H]3N(C[C@H](O)[C@H](O)[C@H](O)CO)[C@@H]2C[C@@H]1C,0.952615205,10761833
BRD-K83506553,CCn1nnc2c(=S)nc[nH]c21,0.836647405,10768490
BRD-K93051667,CO[C@@H]1CN(C)C(=O)c2ccc(NS(=O)(=O)c3cn(C)cn3)cc2OC[C@H](C)N(Cc2cccc(F)c2)C[C@@H]1C,0.944459604,10775760
