Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K70993182,COc1cccc(c1)NC(=O)N1C[C@@H](O)COC[C@H]2O[C@@H](CC[C@@H]21)CC(=O)NCCCN1CCOCC1,0.925798348,1.053427803,1.025625168,1.073001441,10009012
BRD-K04829094,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(cnc2O[C@@H]1CN(C)Cc1ccccn1)C#Cc1ccc(cc1)F,1.098563315,0.972248239,0.984602341,1.009889231,10018974
BRD-K71710985,COc1ccc(cc1)NC(=O)N(C)C[C@@H]1OCCCC[C@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)NC(=O)NC1CCCCC1,1.067318334,0.980759463,1.0288547,1.055494406,10043044
BRD-K31772295,C[C@H]1CCCCO[C@@H](CN(C)CC2CC2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.622203608,0.826996083,0.966156511,0.915048312,10051784
BRD-K02269193,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2c(noc2C)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)C,1.075464137,1.001520674,0.976810049,0.968508904,10056511
BRD-K11799866,COCC(=O)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc(cc2OC[C@@H]1C)NC(=O)Nc1cccc(c1)F)OC,1.059911916,0.986570034,0.985998014,1.021263573,10057475
BRD-K03441551,CC(C)NC(=O)N[C@H]1C=C[C@H](CC(=O)NCCN2CCCC2)O[C@H]1CO,1.010582194,1.000136173,1.020800587,0.961491994,10062601
BRD-K75675638,CC(C)NC(=O)N(C)C[C@@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)-c1ccc(cc1)C(=O)N(C)C,0.889259421,1.036594855,1.006674968,0.981385715,10071888
BRD-K15076320,C[C@@H]1CCCCO[C@H](CN(C)C(=O)C2CCCCC2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccccc1,0.928867427,0.960336241,1.017879792,0.941833964,10077294
BRD-K65858229,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)Nc1ccccc1,0.880435638,0.972901171,0.971068069,1.014427284,10081484
CLORSULON,Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,1.003155,1.081488596,1.020183149,0.878046173,10082645
BRD-K62044398,C[C@H]1CCCCO[C@H](CN(C)C(=O)Nc2ccccc2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Cc1ccccc1,0.865525245,1.096085401,0.954958409,1.01583838,10089117
BRD-K39113160,CCCNC(=O)N1C[C@@H](O)COC[C@H]2O[C@H](CC[C@@H]21)CC(=O)N1CCOCC1,0.845063478,0.995673749,0.997218382,0.966491198,10090208
BRD-K70103925,Cc1ccc(nc1)N1[C@@H](c2ccc(cc2)CO)[C@@](C)(C(=O)NCCN2CCOCC2)c2ccccc2C1=O,1.022845713,1.006392045,0.98275904,1.009710137,10094931
BRD-K77501802,C[C@H]1CCCCO[C@H](CN(C)Cc2ccccc2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,1.010692713,0.937756914,0.99115822,0.92336687,10125129
ARCAINE SULFATE,N=C(N)NCCCCNC(=N)N.O=S(=O)(O)O,1.05485,0.954740392,1.011439376,0.43470205,10125857
BRD-K12478196,C[C@H]1CCCCO[C@H](CN(C)C(=O)Cc2ccccc2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1cccc2ccccc12,1.129029378,1.083020117,1.034400236,1.162600485,10130379
BRD-K69921195,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(cnc2O[C@@H]1CN(C)C(=O)Nc1ccc2c(c1)OCO2)-c1cncnc1,0.933385124,1.030005291,1.0098857,1.07009387,10133675
"ANDROSTA-1,4-DIEN-3,17-DIONE",CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(=O)CCC12,0.89683,0.944399758,1.009161868,1.051920079,10137384
DIHYDRODEHYDROEROSONE,COc1cc2c(cc1OC)-c1c(oc3cc4c(cc3c1=O)CCO4)CO2,1.01729,1.022612788,0.973462168,0.805358551,10144502
BRD-K00440074,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)C)NS(=O)(=O)C,0.97982212,0.979183913,0.997216398,0.993674557,10156128
BRD-K27341164,CN1[C@@H]2CC[C@H](CC(=O)NCCc3ccncc3)O[C@H]2COc2ccc(cc2C1=O)NC(=O)C1CCCC1,0.936104327,1.009334187,1.012476321,0.95646808,10156337
BRD-K63002066,COC(=O)[C@H](Cc1ccccc1)N1CC(=C)[C@@H](/C=C/C=C)[C@@H]1[C@@H](O)CCn1cc(nn1)-c1ccc(cc1)C(=O)NO,0.920313317,1.00305707,1.025627298,0.794390504,10156345
BRD-K67829818,CC(C)NC(=O)N(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)NC(=O)C1CCCCC1,0.923787345,1.107021538,0.982742619,1.031264702,10171481
BRD-K62767887,CCCc1nc2c(n1C)NC(=O)N(C)C2=O,1.196173861,1.01495339,1.041775946,1.136605228,10174763
BRD-K86335411,C[C@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@H]1CN(C)Cc1cccnc1)C#CCN(C)C,1.053695634,0.988648919,0.977113078,1.061629086,10179159
BRD-A86523169,CCOc1ccc(cc1)N1C(=O)c2cccnc2N=C1[C@@H](C)N(Cc1cccnc1)C(=O)Cc1ccc(c(c1)C(F)(F)F)F,0.99733449,1.024216096,0.989047395,1.00188492,10196532
CETRIMONIUM BROMIDE,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.25111,0.211639803,0.044918726,0.193827043,10269265
