Compound_ID,SMILES,Sau_R1_10uM,Sau_R2_10uM,Sau_Mean_10uM,HepG2_R1_10uM,HepG2_R2_10uM,HepG2_Mean_10uM,HSkMC_R1_10uM,HSkMC_R2_10uM,HSkMC_Mean_10uM,IMR90_R1_10uM,IMR90_R2_10uM,IMR90_Mean_10uM,Eco_stokes20_Mean,Abau_liu23_Mean
BRD-K28024289,Nc1nnc(o1)-c1ccc(o1)[N+](=O)[O-],0.090829991,0.087119101,0.088974546,1.007409893,1.05449068,1.030950287,1.031868247,1.096549318,1.064208783,0.982297275,0.998443639,0.990370457,,
BRD-K00556640,O[C@H]1COC[C@@H]2O[C@H](CC[C@H]2N(C1)C(=O)Nc1ccc(cc1)C(F)(F)F)CC(=O)NCCc1ccncc1,0.089490214,0.091760165,0.09062519,0.946559326,0.965122851,0.955841088,1.010199549,1.013785821,1.011992685,1.029191338,0.94988585,0.989538594,,
BRD-K00003706,CC(C)C[C@@H](N)C(=O)N[C@@H]1[C@H](O)c2ccc(c(c2)Cl)Oc2cc3cc(c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@@H](O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H](CC(=O)N)NC1=O)c1ccc(c(c1)-c1c(cc(cc1[C@H](NC2=O)C(=O)O)O)O)O,0.091651428,0.091461996,0.091556712,0.998113918,0.959430835,0.978772376,0.992755467,0.985241545,0.988998506,0.958238619,1.011746235,0.984992427,,
BRD-K76927775,[O-][N+](=O)c1ccc(o1)/C=N/N1CC(=O)NC1=O,0.091330946,0.093746598,0.092538772,0.94661555,0.731473283,0.839044416,1.028067119,1.025955845,1.027011482,1.055595677,1.060640443,1.05811806,,
BRD-K92656786,Cn1cnc(c1)CCNC(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2C(=O)Nc2ccc(cc2)C(F)(F)F)O1,0.095428819,0.090301802,0.09286531,1.000591081,0.921622168,0.961106625,0.999010642,0.972159455,0.985585048,0.981114204,0.973524023,0.977319114,,
BRD-K55152685,O[C@H]1COC[C@H]2O[C@@H](CC[C@@H]2N(C1)C(=O)Nc1ccc(cc1)C(F)(F)F)CC(=O)NCCc1ccncc1,0.097804818,0.090515818,0.094160318,0.964278907,0.967620479,0.965949693,0.997469875,1.012695349,1.005082612,1.027212627,1.014492323,1.020852475,,
BRD-K99750640,Cc1nnc(s1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cn1cnnn1)C2=O)C(=O)O,0.094926536,0.094577363,0.094751949,0.962371405,0.992217865,0.977294635,0.991250146,0.991940041,0.991595094,1.024642182,1.058221318,1.04143175,,
BRD-K00003625,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]1CCC(=O)O[Zn]OC(=O)C[C@H]2NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC(=O)[C@H](CCCCNC(=O)[C@H](CC(=O)N)NC2=O)NC(=O)[C@@H](NC1=O)[C@@H](C)CC)[C@@H](C)CC,0.09465861,0.095019147,0.094838879,1.052208669,1.032051202,1.042129935,0.974876953,0.962506629,0.968691791,1.021139933,1.023969166,1.02255455,,
BRD-K79772676,COc1ccc(cc1)NC(=O)N1CCCCN2[C@H](COCCN(C)C)[C@@H]([C@@H]2C1)c1ccc(cc1)C#Cc1ccccc1,0.094390825,0.095826893,0.095108859,0.075596084,0.073683997,0.074640041,0.108449316,0.094733528,0.101591422,0.060756318,0.066014205,0.063385262,,
BRD-K28935038,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,0.092208375,0.099608074,0.095908224,0.985609622,1.00258749,0.994098556,1.003190847,0.995253112,0.99922198,1.016383035,1.032570957,1.024476996,,
BRD-K25323340,CO[C@H](CN(C)S(=O)(=O)c1cn(cn1)C)[C@@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,0.097899347,0.095348485,0.096623916,0.987603422,0.996922341,0.992262882,1.004665453,0.988943208,0.996804331,0.993526438,0.9855313,0.989528869,,
